"ISBN, ISSN...",Titre,Auteur,Cote,Nbr. Exp.,Titre_clean,Source,1y,2y,3y,4y,5y,teacher,semester_1,semester_2,total_borrowed
,??????? ?? ???????? ?????? ????????,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2804150313,analys concept et contextes : volume 2 .fonctions de plusieurs variables,Stewart,515.84.STE/1,1.0,ANALYS CONCEPT ET CONTEXTES VOLUME 2 FONCTIONS DE PLUSIEURS VARIABLES,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3540113401,principals of artificial inteligence,"J.NILSSON,NILS",006.3.NIL/1,1.0,PRINCIPALS OF ARTIFICIAL INTELIGENCE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782804155520,EXERCICES CORRIGES DE MATHEMATIQUES TOME 2 : rappels de cours et exercices corrigés,"DUPONT,PASCAL",510.76 DUP/2,2.0,EXERCICES CORRIGES DE MATHEMATIQUES TOME 2 RAPPELS DE COURS ET EXERCICES CORRIGES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782100510399,"Analyse MP : cours, méthodes et exercices corrigés","Monier, Jean-Marie",515.076 MON/1,2.0,ANALYSE MP COURS METHODES ET EXERCICES CORRIGES,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9782100543113,Mathématiques tout-en-un : MPSI-PCSI,Deschamps Claude,510.76.DES/1,2.0,MATHEMATIQUES TOUT EN UN MPSI PCSI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9789931926221,Exercices d'algèbre et d'analyse : 154 exercices corrigés de premiére année 21 édition entiérement revue et augmentée,Balac Stéphane,510.BAL/1,4.0,EXERCICES D ALGEBRE ET D ANALYSE 154 EXERCICES CORRIGES DE PREMIERE ANNEE 21 EDITION ENTIEREMENT REVUE ET AUGMENTEE,,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0
9782100534227,Mathématiques : méthodes et exercices MP,"Monier, Jean-Marie",510.76 MON/1,2.0,MATHEMATIQUES METHODES ET EXERCICES MP,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2729812466,"Algèbre : premiers pas en prépa : 1re année, prépa scientifique, mathématiques","Levine, Albert",512.007.LEV/2,1.0,ALGEBRE PREMIERS PAS EN PREPA 1RE ANNEE PREPA SCIENTIFIQUE MATHEMATIQUES,,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0
2212111061,EXERCICES EN LANGAGE C++,"Delannoy, Claude",005.133 DEL,2.0,EXERCICES EN LANGAGE C,,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
2100040030,"Algèbre générale : rappels de cours, questions de réflexion, exercices d'entraînement",Denmat Anne,512.007 6 DEN,3.0,ALGEBRE GENERALE RAPPELS DE COURS QUESTIONS DE REFLEXION EXERCICES D ENTRAINEMENT,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9782100507436,"Mathématiques : tout-en-un, pour la licence, niveau L2 : cours complet avec applications et 760 exercices corrigés","Warusfel, André",510.76.RAM/1,2.0,MATHEMATIQUES TOUT EN UN POUR LA LICENCE NIVEAU L2 COURS COMPLET AVEC APPLICATIONS ET 760 EXERCICES CORRIGES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782311012989,Maths PCSI-PTSI,Oudot Xavier,510.76.OUD/1,4.0,MATHS PCSI PTSI,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
272988632x,exercices corrige de mathematiques : posés à l'oral des concours HEC et ESCP,"Louis Roque, JEAN",510 LEB/1,1.0,EXERCICES CORRIGE DE MATHEMATIQUES POSES A L ORAL DES CONCOURS HEC ET ESCP,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9789961017159,Management stratégique : Les differentes Approches,EL HADI GHEDGHOUDJ,658 GHE/1,10.0,MANAGEMENT STRATEGIQUE LES DIFFERENTES APPROCHES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9789961020708,De mes cahiers d’analyse… équations différentielles ordinaires du premier et second ordre : assise théorique et applications cours détaillé et exercices résolus,Hazi Mohammed,515.3 HAZ/1,124.0,DE MES CAHIERS D ANALYSE EQUATIONS DIFFERENTIELLES ORDINAIRES DU PREMIER ET SECOND ORDRE ASSISE THEORIQUE ET APPLICATIONS COURS DETAILLE ET EXERCICES RESOLUS,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0
9782854288629,"Formules de Taylor, développements limités : L1, L2, L3, classes préparatoires","Morvan, Jean-Marie",515.80.COL/1,2.0,FORMULES DE TAYLOR DEVELOPPEMENTS LIMITES L1 L2 L3 CLASSES PREPARATOIRES,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
2212113277,Apprendre Java et C++ en parallèle,"Boichat, Jean-Bernard",005.133 BOI/1,1.0,APPRENDRE JAVA ET C EN PARALLELE,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9789961012901,equation de la physique mathematique appliquees,BADDARI.K,510 BAD,,EQUATION DE LA PHYSIQUE MATHEMATIQUE APPLIQUEES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782705669249,Intégrale de Riemann : théorie et pratique avec exercices corrigés,El Amrani Mohammed,515.43.ELA/1,2.0,INTEGRALE DE RIEMANN THEORIE ET PRATIQUE AVEC EXERCICES CORRIGES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782311007381,analyse theorie de lintegration : convolution et transformée de Fourier : cours & exercices corrigés : licence 3 & master 1 mathématiques,BRIANE MARC,515.42 BRI/1,2.0,ANALYSE THEORIE DE LINTEGRATION CONVOLUTION ET TRANSFORMEE DE FOURIER COURS EXERCICES CORRIGES LICENCE 3 MASTER 1 MATHEMATIQUES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9789961006979,mathématiques rappels et cours exercices résolus,A.BENAYAD,510.76 BEN / 1,44.0,MATHEMATIQUES RAPPELS ET COURS EXERCICES RESOLUS,,7.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,9.0
2852066181,INITIATION AUX TRANSFERTS THERMIQUES,Sacadura.J.F,621.4 SAC/1,1.0,INITIATION AUX TRANSFERTS THERMIQUES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,structures Algebriques : mathématiques,LANG SERGE,519.26.LAN/1,,STRUCTURES ALGEBRIQUES MATHEMATIQUES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,????? ??????,????? ????? ????,512.???,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9789961007310,S.E.M 300 par ses examens TOME2 : analyse et algébre de premiére année des universités et grndes ecoles scientifiques,Mohammed hazi,510 HAZ /14,70.0,S E M 300 PAR SES EXAMENS TOME2 ANALYSE ET ALGEBRE DE PREMIERE ANNEE DES UNIVERSITES ET GRNDES ECOLES SCIENTIFIQUES,,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
9789961011188,Elements D'analyse Tome 2 : fonctions d'une variable réelle :1re 2re années d'université,KADA ALLAB,515 ALL/100,54.0,ELEMENTS D ANALYSE TOME 2 FONCTIONS D UNE VARIABLE REELLE 1RE 2RE ANNEES D UNIVERSITE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9789961014363,THEORIE ET PRATIQUE DES FONCTIONS D'UNE VARIABLE COMPLEXE : Application a la physique de la terre au génie pétrolier,K.BADDARI,515 BAD/48,70.0,THEORIE ET PRATIQUE DES FONCTIONS D UNE VARIABLE COMPLEXE APPLICATION A LA PHYSIQUE DE LA TERRE AU GENIE PETROLIER,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9789961016954,????????? ????????? ?? ???????? ?????? ????????,???? ????,515.HAZ/1,6.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9789961016718,LEXIQUE MATHEMATIQUE,SADALLAH Boubaker Kheled,515.BOU/1,10.0,LEXIQUE MATHEMATIQUE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9789961019306,TOUT SUR R : ENSEMBLE DES NOMBRES REELS STRUCTURES ALGEBRIQUE ET TOPOLOGIQUE,Mohammed hazi,512.55,124.0,TOUT SUR R ENSEMBLE DES NOMBRES REELS STRUCTURES ALGEBRIQUE ET TOPOLOGIQUE,,8.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,9.0
9789961020715,"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIabilité et.... cours détaillé et exercices résolus",Mohammed hazi,,140.0,FONCTIONS DE PLUSIEURS VARIABLES RELLES IMITES CONTINUITE DIFFERENTIABILITE ET COURS DETAILLE ET EXERCICES RESOLUS,,0.0,46.0,6.0,1.0,0.0,1.0,39.0,15.0,54.0
9789961020722,AU CARREFOUR DES EXAMENS DE TOPOLOGIE : PROBLEMES ET EXERCICES RESOLUS,Hazi Mohammed,510 HAZ/1,30.0,AU CARREFOUR DES EXAMENS DE TOPOLOGIE PROBLEMES ET EXERCICES RESOLUS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9789961009192,PROBABILITES : RAPPELS DE COURS ET EXERCICES CORRIGES,KHALDI KHALED,519.2 .KHA/5,10.0,PROBABILITES RAPPELS DE COURS ET EXERCICES CORRIGES,,0.0,15.0,3.0,0.0,0.0,0.0,13.0,5.0,18.0
9789961016107,ANALYSE MATHEMATIQUE : EXERCICES CORRIGES,BELAIDI BENHARRAT,,35.0,ANALYSE MATHEMATIQUE EXERCICES CORRIGES,,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0
,antelligence artificielle probléme et méthodes,,681.3 TIS/1,2.0,ANTELLIGENCE ARTIFICIELLE PROBLEME ET METHODES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100069586,Exercices et problèmes d'algorithmique : 144 énoncés avec solutions détaillées,BAYNAT BRUNO*,518.107.BAY/1,2.0,EXERCICES ET PROBLEMES D ALGORITHMIQUE 144 ENONCES AVEC SOLUTIONS DETAILLEES,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
9789961007301,S.E.M. 300 par ses examens T.1 : analyse et algèbre de première année des universités et grandes écoles scientifiques,Hazi Mohammed,515.HAZ/1,5.0,S E M 300 PAR SES EXAMENS T 1 ANALYSE ET ALGEBRE DE PREMIERE ANNEE DES UNIVERSITES ET GRANDES ECOLES SCIENTIFIQUES,,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
9789961652855,Exercices corrigés d'analyse : 1ère année LMD,Mortad Mohammed Hicham*,,5.0,EXERCICES CORRIGES D ANALYSE 1ERE ANNEE LMD,,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
2040100725,EXERCICES ET PROBLEMES RESOLUS D'ANALYSE,"Chambadal, Lucien",515.CHA/1,4.0,EXERCICES ET PROBLEMES RESOLUS D ANALYSE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782311002744,introduction à l'analyse : cours & exercices corrigés : licence 1 mathématiques,": Aebischer, Bruno",515 AEB/1,1.0,INTRODUCTION A L ANALYSE COURS EXERCICES CORRIGES LICENCE 1 MATHEMATIQUES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782100557417,Mathématiques : méthodes et exercices : PCSI-PTSI,"Marie Monier, Jean",510 MON/1,2.0,MATHEMATIQUES METHODES ET EXERCICES PCSI PTSI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Intelligence artificielle,Edith Schomberg,006.3.SCH/1,2.0,INTELLIGENCE ARTIFICIELLE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782311002751,analyse : Fonctions de plusieurs variables et géométrie analytique,"Aebischer, Bruno",515.076 AEB/2,3.0,ANALYSE FONCTIONS DE PLUSIEURS VARIABLES ET GEOMETRIE ANALYTIQUE,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9782311010312,Analyse numérique : cours et exercices corrigés,"Canon, Eric",518.076 Can /1,,ANALYSE NUMERIQUE COURS ET EXERCICES CORRIGES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100040057,Algébre linéaire,"DANMAT, ANNE",512 DEN/1,3.0,ALGEBRE LINEAIRE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100053507,BASES DE DONNEES ET STATISTIQUE,"Morin, Annie",005.740 MOR,4.0,BASES DE DONNEES ET STATISTIQUE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,élément d'analyse,"Allab, Kada",,2.0,ELEMENT D ANALYSE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2711721450,TOPOLOGIE ET D'analyse tome 1,FLORY.G,514.FLO,1.0,TOPOLOGIE ET D ANALYSE TOME 1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210007363X,"Mathématiques, EC 1re année : tout-en-un : cours et exercices","Warusfel, André",510.76 GAU,2.0,MATHEMATIQUES EC 1RE ANNEE TOUT EN UN COURS ET EXERCICES,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
,Elément de topographie,,,4.0,ELEMENT DE TOPOGRAPHIE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Cours élémentaire de topographie,B Dubuisson,,6.0,COURS ELEMENTAIRE DE TOPOGRAPHIE,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9782100056439,Algorithmique et optimisation - Exercices corrigés : exercices corrigés,"Darte, Alain",511.8.DAR/1,5.0,ALGORITHMIQUE ET OPTIMISATION EXERCICES CORRIGES EXERCICES CORRIGES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
